tranportation,city,postcode,housenumber,street,state,address1,address2
BAM Rose Cinemas,New York,11217,30,Lafayette Avenue,New York,BAM Rose Cinemas,"30 Lafayette Avenue, New York, NY 11217, United States of America"
Repertorio Español,New York,10016,138,East 27th Street,New York,Repertorio Español,"138 East 27th Street, New York, NY 10016, United States of America"
The Column Theater,New York,11217,345,Dean Street,New York,The Column Theater,"345 Dean Street, New York, NY 11217, United States of America"
BAM Fischer,New York,11217,321,Ashland Place,New York,BAM Fischer,"321 Ashland Place, New York, NY 11217, United States of America"
Red Hook Art Project,New York,11231,291,Van Brunt Street,New York,Red Hook Art Project,"291 Van Brunt Street, New York, NY 11231, United States of America"
Paula Cooper Gallery,New York,10011,525,West 21st Street,New York,Paula Cooper Gallery,"525 West 21st Street, New York, NY 10011, United States of America"
The Fishman Space,New York,11217,321,Ashland Place,New York,The Fishman Space,"321 Ashland Place, New York, NY 11217, United States of America"
Museum of Sex,New York,10016,223,5th Avenue,New York,Museum of Sex,"223 5th Avenue, New York, NY 10016, United States of America"
National Sawdust,New York,11249,80,North 6th Street,New York,National Sawdust,"80 North 6th Street, New York, NY 11249, United States of America"
The Robotic Church,New York,11231,111,Pioneer Street,New York,The Robotic Church,"111 Pioneer Street, New York, NY 11231, United States of America"
303 Gallery,New York,10011,555,West 21st Street,New York,303 Gallery,"555 West 21st Street, New York, NY 10011, United States of America"
Verysweetlife Studio,New York,11217,320,Dean Street,New York,Verysweetlife Studio,"320 Dean Street, New York, NY 11217, United States of America"
Basin Gallery & Studios,New York,11231,344,Van Brunt Street,New York,Basin Gallery & Studios,"344 Van Brunt Street, New York, NY 11231, United States of America"
The Museum at FIT,New York,10001,N/A,West 27th Street,New York,The Museum at FIT,"West 27th Street, New York, NY 10001, United States of America"
The Cliffs at Gowanus,New York,11217,242,Butler Street,New York,The Cliffs at Gowanus,"242 Butler Street, New York, NY 11217, United States of America"
Peninsula,New York,11231,352,Van Brunt Street,New York,Peninsula,"352 Van Brunt Street, New York, NY 11231, United States of America"
Williamsburg Cinemas,New York,11211,217,Grand Street,New York,Williamsburg Cinemas,"217 Grand Street, New York, NY 11211, United States of America"
Brindamour Studios,New York,11231,487,Union Street,New York,Brindamour Studios,"487 Union Street, New York, NY 11231, United States of America"
The Fiberhouse,New York,11231,72,Nelson Street,New York,The Fiberhouse,"72 Nelson Street, New York, NY 11231, United States of America"
Sunday Takeout,New York,11217,29,Hanson Place,New York,Sunday Takeout,"29 Hanson Place, New York, NY 11217, United States of America"
HG Contemporary,New York,10011,527,West 23rd Street,New York,HG Contemporary,"527 West 23rd Street, New York, NY 10011, United States of America"
Escape,New York,10001,130,West 29th Street,New York,Escape,"130 West 29th Street, New York, NY 10001, United States of America"
Realty Collective,New York,11231,351,Van Brunt Street,New York,Realty Collective,"351 Van Brunt Street, New York, NY 11231, United States of America"
Gladstone Gallery,New York,10011,515,West 24th Street,New York,Gladstone Gallery,"515 West 24th Street, New York, NY 10011, United States of America"
Art World ESPO,New York,11217,72,4th Avenue,New York,Art World ESPO,"72 4th Avenue, New York, NY 11217, United States of America"
Bond Craft Studio,New York,11231,372,Bond Street,New York,Bond Craft Studio,"372 Bond Street, New York, NY 11231, United States of America"
Chelsea Waterside Play Area,New York,10011,N/A,11th Avenue,New York,Chelsea Waterside Play Area,"11th Avenue, New York, NY 10011, United States of America"
Museum of Contemporary African Diasporan Arts,New York,11217,80,Hanson Place,New York,Museum of Contemporary African Diasporan Arts,"80 Hanson Place, New York, NY 11217, United States of America"
Golden Anvil,New York,11231,102,Dikeman Street,New York,Golden Anvil,"102 Dikeman Street, New York, NY 11231, United States of America"
Spoke the Hub Dancing,New York,11217,298,Butler Street,New York,Spoke the Hub Dancing,"298 Butler Street, New York, NY 11217, United States of America"
KoKo Gowanus,New York,11217,298,Butler Street,New York,KoKo Gowanus,"298 Butler Street, New York, NY 11217, United States of America"
Gagosian,New York,10011,555,West 24th Street,New York,Gagosian,"555 West 24th Street, New York, NY 10011, United States of America"
Brooklyn Boulders,New York,11217,575,Degraw Street,New York,Brooklyn Boulders,"575 Degraw Street, New York, NY 11217, United States of America"
Liberty Science Center,Jersey City,07305,222,Jersey City Boulevard,New Jersey,Liberty Science Center,"222 Jersey City Boulevard, Jersey City, NJ 07305, United States of America"
Pace Gallery,New York,10001,540,West 25th Street,New York,Pace Gallery,"540 West 25th Street, New York, NY 10001, United States of America"
Magnet Theater,New York,10001,254,West 29th Street,New York,Magnet Theater,"254 West 29th Street, New York, NY 10001, United States of America"
Hudson Guild Theatre,New York,10001,441,West 26th Street,New York,Hudson Guild Theatre,"441 West 26th Street, New York, NY 10001, United States of America"
Chelsea Park,New York,10001,N/A,West 27th Drive,New York,Chelsea Park,"West 27th Drive, New York, NY 10001, United States of America"
Theater Mitu,New York,11217,580A,Sackett Street,New York,Theater Mitu,"580A Sackett Street, New York, NY 11217, United States of America"
IMAX Dome Theater,Jersey City,07302,N/A,New Jersey Turnpike Newark Bay Extension,New Jersey,IMAX Dome Theater,"New Jersey Turnpike Newark Bay Extension, Jersey City, NJ 07302, United States of America"
MetroRock Williamsburg,New York,11211,150,Marcy Avenue,New York,MetroRock Williamsburg,"150 Marcy Avenue, New York, NY 11211, United States of America"
Joseph D. Williams Science Theater,Jersey City,07305,N/A,Phillip Street,New Jersey,Joseph D. Williams Science Theater,"Phillip Street, Jersey City, NJ 07305, United States of America"
Skyline Drive In NYC,New York,11222,N/A,Oak Street,New York,Skyline Drive In NYC,"Oak Street, New York, NY 11222, United States of America"
Statue of Liberty Museum,New York,07302,N/A,Flagpole Plaza,New York,Statue of Liberty Museum,"Flagpole Plaza, New York, NY 07302, United States of America"
AMC Kips Bay 15,New York,10016,570,2nd Avenue,New York,AMC Kips Bay 15,"570 2nd Avenue, New York, NY 10016, United States of America"
The Cutting Room,New York,10016,44,East 32nd Street,New York,The Cutting Room,"44 East 32nd Street, New York, NY 10016, United States of America"
AM:PM Gallery,New York,11211,108,Marcy Avenue,New York,AM:PM Gallery,"108 Marcy Avenue, New York, NY 11211, United States of America"
Paul Robeson Theatre,New York,11221,40,Greene Avenue,New York,Paul Robeson Theatre,"40 Greene Avenue, New York, NY 11221, United States of America"
The McKittrick Hotel,New York,10001,N/A,West 27th Street,New York,The McKittrick Hotel,"West 27th Street, New York, NY 10001, United States of America"
Memorial Hall,New York,11205,205,Ryerson Street,New York,Memorial Hall,"205 Ryerson Street, New York, NY 11205, United States of America"
The City Reliquary,New York,11211,370,Metropolitan Avenue,New York,The City Reliquary,"370 Metropolitan Avenue, New York, NY 11211, United States of America"
The Canvas,New York,11249,132,Bedford Avenue,New York,The Canvas,"132 Bedford Avenue, New York, NY 11249, United States of America"
Littlefield,New York,11217,635,Sackett Street,New York,Littlefield,"635 Sackett Street, New York, NY 11217, United States of America"
e-flux,New York,11205,172,Classon Avenue,New York,e-flux,"172 Classon Avenue, New York, NY 11205, United States of America"
The Waterfront Museum,New York,11231,290,Conover Street,New York,The Waterfront Museum,"290 Conover Street, New York, NY 11231, United States of America"
Lucid Body House,New York,10016,230,Lexington Avenue,New York,Lucid Body House,"230 Lexington Avenue, New York, NY 10016, United States of America"
GP-81 Climbing Gym,New York,11222,81,Quay Street,New York,GP-81 Climbing Gym,"81 Quay Street, New York, NY 11222, United States of America"
Jaime Campiz Playground,New York,11211,N/A,Marcy Avenue,New York,Jaime Campiz Playground,"Marcy Avenue, New York, NY 11211, United States of America"
VR World,New York,10016,8,East 34th Street,New York,VR World,"8 East 34th Street, New York, NY 10016, United States of America"
Liberty State Park Interpretive Center,Jersey City,07305,275,Freedom Way,New Jersey,Liberty State Park Interpretive Center,"275 Freedom Way, Jersey City, NJ 07305, United States of America"
The Houdini Museum of New York,New York,10001,N/A,West 33rd Street,New York,The Houdini Museum of New York,"West 33rd Street, New York, NY 10001, United States of America"
ShapeShifter Lab,New York,11215,18,Whitwell Place,New York,ShapeShifter Lab,"18 Whitwell Place, New York, NY 11215, United States of America"
Textile Arts Center,New York,11215,505,Carroll Street,New York,Textile Arts Center,"505 Carroll Street, New York, NY 11215, United States of America"
Liberty State Park Interpretive Center,Jersey City,07302,N/A,Freedom Way,New Jersey,Liberty State Park Interpretive Center,"Freedom Way, Jersey City, NJ 07302, United States of America"
Martin E. Segal Theatre Center,New York,10016,365,5th Avenue,New York,Martin E. Segal Theatre Center,"365 5th Avenue, New York, NY 10016, United States of America"
The Gutter,New York,11249,200,North 14th Street,New York,The Gutter,"200 North 14th Street, New York, NY 11249, United States of America"
VITAL Climbing Gym,New York,11249,221,North 14th Street,New York,VITAL Climbing Gym,"221 North 14th Street, New York, NY 11249, United States of America"
Gowanus Creative Studios,New York,11231,N/A,2nd Avenue,New York,Gowanus Creative Studios,"2nd Avenue, New York, NY 11231, United States of America"
The Shed,New York,10001,N/A,West 30th Street,New York,The Shed,"West 30th Street, New York, NY 10001, United States of America"
Established Gallery,New York,11217,75B,6th Avenue,New York,Established Gallery,"75B 6th Avenue, New York, NY 11217, United States of America"
The Bell House,New York,11215,149,7th Street,New York,The Bell House,"149 7th Street, New York, NY 11215, United States of America"
The Old American Can Factory,New York,11215,232,3rd Street,New York,The Old American Can Factory,"232 3rd Street, New York, NY 11215, United States of America"
Ortega y Gasset Projects,New York,11215,363,3rd Avenue,New York,Ortega y Gasset Projects,"363 3rd Avenue, New York, NY 11215, United States of America"
AMC Lowes 34th St 14,New York,10001,312,West 34th Street,New York,AMC Lowes 34th St 14,"312 West 34th Street, New York, NY 10001, United States of America"
N/A,New York,11215,232,3rd Street,New York,232 3rd Street,"New York, NY 11215, United States of America"
Site: Brooklyn,New York,11215,165,7th Street,New York,Site: Brooklyn,"165 7th Street, New York, NY 11215, United States of America"
Manhattan Center,New York,10001,311,West 34th Street,New York,Manhattan Center,"311 West 34th Street, New York, NY 10001, United States of America"
The Morgan Library & Museum,New York,10016,225,Madison Avenue,New York,The Morgan Library & Museum,"225 Madison Avenue, New York, NY 10016, United States of America"
Grand Avenue Workshop,New York,11238,290,Grand Avenue,New York,Grand Avenue Workshop,"290 Grand Avenue, New York, NY 11238, United States of America"
Side pony tail - comedy,New York,11211,594,Union Avenue,New York,Side pony tail - comedy,"594 Union Avenue, New York, NY 11211, United States of America"
Super Secret Arts,New York,11215,400,3rd Avenue,New York,Super Secret Arts,"400 3rd Avenue, New York, NY 11215, United States of America"
Ibeam Brooklyn,New York,11215,168,7th Street,New York,Ibeam Brooklyn,"168 7th Street, New York, NY 11215, United States of America"
Sharon Simmons Art Gallery,New York,11217,127,6th Avenue,New York,Sharon Simmons Art Gallery,"127 6th Avenue, New York, NY 11217, United States of America"
Principles GI Coffee House,New York,11215,139,9th Street,New York,Principles GI Coffee House,"139 9th Street, New York, NY 11215, United States of America"
Bklyn Clay,New York,11238,535,Carlton Avenue,New York,Bklyn Clay,"535 Carlton Avenue, New York, NY 11238, United States of America"
Barcade,New York,11211,388,Union Avenue,New York,Barcade,"388 Union Avenue, New York, NY 11211, United States of America"
17 Frost Gallery,New York,11211,17,Frost Street,New York,17 Frost Gallery,"17 Frost Street, New York, NY 11211, United States of America"
St. Hrouda,New York,11215,227,5th Avenue,New York,St. Hrouda,"227 5th Avenue, New York, NY 11215, United States of America"
Hoboken Historical Museum,Hoboken,07030,1301,Hudson Street,New Jersey,Hoboken Historical Museum,"1301 Hudson Street, Hoboken, NJ 07030, United States of America"
Abingdon Theatre Complex,New York,10018,312,West 36th Street,New York,Abingdon Theatre Complex,"312 West 36th Street, New York, NY 10018, United States of America"
The Tank,New York,10018,312,West 36th Street,New York,The Tank,"312 West 36th Street, New York, NY 10018, United States of America"
Monroe Center for the Arts,Hoboken,07030,623,Monroe Street,New Jersey,Monroe Center for the Arts,"623 Monroe Street, Hoboken, NJ 07030, United States of America"
Shipwrecked,New York,11231,621,Court Street,New York,Shipwrecked,"621 Court Street, New York, NY 11231, United States of America"
Dieu Donne,New York,10018,315,West 36th Street,New York,Dieu Donne,"315 West 36th Street, New York, NY 10018, United States of America"
National Comedy Theater,New York,10018,347,West 36th Street,New York,National Comedy Theater,"347 West 36th Street, New York, NY 10018, United States of America"
Craftsman Ave,New York,11215,117B,11th Street,New York,Craftsman Ave,"117B 11th Street, New York, NY 11215, United States of America"
The Brick,New York,11211,579,Metropolitan Avenue,New York,The Brick,"579 Metropolitan Avenue, New York, NY 11211, United States of America"
Soapbox Gallery,New York,11238,636,Dean Street,New York,Soapbox Gallery,"636 Dean Street, New York, NY 11238, United States of America"
Spoke the Hub,New York,11215,748,Union Street,New York,Spoke the Hub,"748 Union Street, New York, NY 11215, United States of America"
Old Stone House,New York,11215,336,3rd Street,New York,Old Stone House,"336 3rd Street, New York, NY 11215, United States of America"
J.J. Byrne Playground,New York,11215,N/A,3rd Street,New York,J.J. Byrne Playground,"3rd Street, New York, NY 11215, United States of America"
Sunshine Laundromat & Pinball,New York,11222,860,Manhattan Avenue,New York,Sunshine Laundromat & Pinball,"860 Manhattan Avenue, New York, NY 11222, United States of America"
Lafayette Gardens Playground,New York,11225,N/A,Franklin Avenue,New York,Lafayette Gardens Playground,"Franklin Avenue, New York, NY 11225, United States of America"
Ocean's 8,New York,11238,308,Flatbush Avenue,New York,Ocean's 8,"308 Flatbush Avenue, New York, NY 11238, United States of America"
Museum of Food and Drink,New York,11222,62,Bayard Street,New York,Museum of Food and Drink,"62 Bayard Street, New York, NY 11222, United States of America"
Ripley-Grier Flexible Spaces,New York,10018,305,West 38th Street,New York,Ripley-Grier Flexible Spaces,"305 West 38th Street, New York, NY 10018, United States of America"
The Honey Badger Motel,New York,11217,145,Sterling Place,New York,The Honey Badger Motel,"145 Sterling Place, New York, NY 11217, United States of America"
The AKC Museum of the Dog,New York,10016,101,Park Avenue,New York,The AKC Museum of the Dog,"101 Park Avenue, New York, NY 10016, United States of America"
BAC,New York,10018,450,West 37th Street,New York,BAC,"450 West 37th Street, New York, NY 10018, United States of America"
The Escape Game New York City,New York,10017,295,Madison Avenue,New York,The Escape Game New York City,"295 Madison Avenue, New York, NY 10017, United States of America"
Film Noir Cinema,New York,11222,122,Meserole Avenue,New York,Film Noir Cinema,"122 Meserole Avenue, New York, NY 11222, United States of America"
Brooklyn Center Stage Dance Studio,New York,11215,495,3rd Avenue,New York,Brooklyn Center Stage Dance Studio,"495 3rd Avenue, New York, NY 11215, United States of America"
SIR Stage37,New York,10018,508,West 37th Street,New York,SIR Stage37,"508 West 37th Street, New York, NY 10018, United States of America"
The Empty Circle,New York,11215,499,3rd Avenue,New York,The Empty Circle,"499 3rd Avenue, New York, NY 11215, United States of America"
Putting Green,New York,10019,N/A,6th Avenue,New York,Putting Green,"6th Avenue, New York, NY 10019, United States of America"
The Elizabeth Foundation for the Arts,New York,10018,323,West 39th Street,New York,The Elizabeth Foundation for the Arts,"323 West 39th Street, New York, NY 10018, United States of America"
The Robert Blackburn Printmaking Workshop (RBPMW),New York,10018,323,West 39th Street,New York,The Robert Blackburn Printmaking Workshop (RBPMW),"323 West 39th Street, New York, NY 10018, United States of America"
Miss Tic Escape Rooms,New York,11215,794,Union Street,New York,Miss Tic Escape Rooms,"794 Union Street, New York, NY 11215, United States of America"
Nederlander Theatre,New York,10018,208,West 41st Street,New York,Nederlander Theatre,"208 West 41st Street, New York, NY 10018, United States of America"
BBFL Gallery,New York,11215,300,7th Street,New York,BBFL Gallery,"300 7th Street, New York, NY 11215, United States of America"
Brooklyn Glass,New York,11215,143,13th Street,New York,Brooklyn Glass,"143 13th Street, New York, NY 11215, United States of America"
New Amsterdam Theatre,New York,10036,214,West 42nd Street,New York,New Amsterdam Theatre,"214 West 42nd Street, New York, NY 10036, United States of America"
Madame Tussauds New York,New York,10036,234,West 42nd Street,New York,Madame Tussauds New York,"234 West 42nd Street, New York, NY 10036, United States of America"
AMC Empire 25,New York,10036,234,West 42nd Street,New York,AMC Empire 25,"234 West 42nd Street, New York, NY 10036, United States of America"
Dave & Buster's,New York,10036,234,West 42nd Street,New York,Dave & Buster's,"234 West 42nd Street, New York, NY 10036, United States of America"
Jack,New York,11238,20,Putnam Avenue,New York,Jack,"20 Putnam Avenue, New York, NY 11238, United States of America"
The Gravity Vault Hoboken,Hoboken,07030,1423,Clinton Street,New Jersey,The Gravity Vault Hoboken,"1423 Clinton Street, Hoboken, NJ 07030, United States of America"
Bow Tie Cinemas,Hoboken,07030,409-415,14th Street,New Jersey,Bow Tie Cinemas,"409-415 14th Street, Hoboken, NJ 07030, United States of America"
Puppetworks,New York,11215,338,6th Avenue,New York,Puppetworks,"338 6th Avenue, New York, NY 11215, United States of America"
BAX,New York,11215,421,5th Avenue,New York,BAX,"421 5th Avenue, New York, NY 11215, United States of America"
New Victory Theater,New York,10036,209,West 42nd Street,New York,New Victory Theater,"209 West 42nd Street, New York, NY 10036, United States of America"
Lyric Theatre,New York,10036,213,West 42nd Street,New York,Lyric Theatre,"213 West 42nd Street, New York, NY 10036, United States of America"
American Airlines Theatre,New York,10036,227,West 42nd Street,New York,American Airlines Theatre,"227 West 42nd Street, New York, NY 10036, United States of America"
The Gravity Vault Hoboken,Hoboken,07030,1423,Clinton Street,New Jersey,The Gravity Vault Hoboken,"1423 Clinton Street, Hoboken, NJ 07030, United States of America"
Stephen Sondheim Theatre,New York,10036,124,West 43rd Street,New York,Stephen Sondheim Theatre,"124 West 43rd Street, New York, NY 10036, United States of America"
The Duke on 42nd Street,New York,10036,229,West 42nd Street,New York,The Duke on 42nd Street,"229 West 42nd Street, New York, NY 10036, United States of America"
Regal E-Walk Stadium 13 & RPX,New York,10036,247,West 42nd Street,New York,Regal E-Walk Stadium 13 & RPX,"247 West 42nd Street, New York, NY 10036, United States of America"
International Center of Photography,New York,10036,1133,6th Avenue,New York,International Center of Photography,"1133 6th Avenue, New York, NY 10036, United States of America"
The Town Hall,New York,10036,123,West 43rd Street,New York,The Town Hall,"123 West 43rd Street, New York, NY 10036, United States of America"
American Airlines Theatre,New York,10036,227,West 42nd Street,New York,American Airlines Theatre,"227 West 42nd Street, New York, NY 10036, United States of America"
Muddguts,New York,11211,427,Graham Avenue,New York,Muddguts,"427 Graham Avenue, New York, NY 11211, United States of America"
Theatre Row,New York,10036,410,West 42nd Street,New York,Theatre Row,"410 West 42nd Street, New York, NY 10036, United States of America"
Playwrights Horizons,New York,10036,416,West 42nd Street,New York,Playwrights Horizons,"416 West 42nd Street, New York, NY 10036, United States of America"
Belasco Theatre,New York,10036,111,West 44th Street,New York,Belasco Theatre,"111 West 44th Street, New York, NY 10036, United States of America"
Fiddler on The Roof,New York,10036,420,West 42nd Street,New York,Fiddler on The Roof,"420 West 42nd Street, New York, NY 10036, United States of America"
The Green Room 42,New York,10036,460,West 42nd Street,New York,The Green Room 42,"460 West 42nd Street, New York, NY 10036, United States of America"
Helen Hayes Theatre,New York,10036,240,West 44th Street,New York,Helen Hayes Theatre,"240 West 44th Street, New York, NY 10036, United States of America"
St. James Theatre,New York,10036,246,West 44th Street,New York,St. James Theatre,"246 West 44th Street, New York, NY 10036, United States of America"
Greenpoint Gallery,New York,11222,390,McGuinness Boulevard,New York,Greenpoint Gallery,"390 McGuinness Boulevard, New York, NY 11222, United States of America"
Underhill Playground,New York,11216,N/A,Prospect Place,New York,Underhill Playground,"Prospect Place, New York, NY 11216, United States of America"
Second Stage Theater,New York,10036,N/A,West 43rd Street,New York,Second Stage Theater,"West 43rd Street, New York, NY 10036, United States of America"
The Gallery Players Theater,New York,11215,199,14th Street,New York,The Gallery Players Theater,"199 14th Street, New York, NY 11215, United States of America"
PlayStation Theater,New York,10019,1515,Broadway,New York,PlayStation Theater,"1515 Broadway, New York, NY 10019, United States of America"
Shubert Theatre,New York,10036,225,West 44th Street,New York,Shubert Theatre,"225 West 44th Street, New York, NY 10036, United States of America"
Broadhurst Theatre,New York,10036,235,West 44th Street,New York,Broadhurst Theatre,"235 West 44th Street, New York, NY 10036, United States of America"
Majestic Theatre,New York,10036,245,West 44th Street,New York,Majestic Theatre,"245 West 44th Street, New York, NY 10036, United States of America"
Land Gallery & Studio,New York,11216,1101,Bedford Avenue,New York,Land Gallery & Studio,"1101 Bedford Avenue, New York, NY 11216, United States of America"
Booth Theatre,New York,10036,222,West 45th Street,New York,Booth Theatre,"222 West 45th Street, New York, NY 10036, United States of America"
GAMBA Forest,New York,11222,630,Humboldt Street,New York,GAMBA Forest,"630 Humboldt Street, New York, NY 11222, United States of America"
Gerald Schoenfeld Theatre,New York,10036,236,West 45th Street,New York,Gerald Schoenfeld Theatre,"236 West 45th Street, New York, NY 10036, United States of America"
Bernard B. Jacobs Theatre,New York,10036,242,West 45th Street,New York,Bernard B. Jacobs Theatre,"242 West 45th Street, New York, NY 10036, United States of America"
Minskoff Theatre,New York,10019,1515,Broadway,New York,Minskoff Theatre,"1515 Broadway, New York, NY 10019, United States of America"
Lyceum Theatre,New York,10036,149,West 45th Street,New York,Lyceum Theatre,"149 West 45th Street, New York, NY 10036, United States of America"
John Golden Theatre,New York,10036,252,West 45th Street,New York,John Golden Theatre,"252 West 45th Street, New York, NY 10036, United States of America"
Westside Theatre,New York,10036,407,West 43rd Street,New York,Westside Theatre,"407 West 43rd Street, New York, NY 10036, United States of America"
440 Gallery,New York,11215,440,6th Avenue,New York,440 Gallery,"440 6th Avenue, New York, NY 11215, United States of America"
Producers Club Theaters and Bar,New York,10036,358,West 44th Street,New York,Producers Club Theaters and Bar,"358 West 44th Street, New York, NY 10036, United States of America"
Al Hirschfeld Theatre,New York,10036,302,West 45th Street,New York,Al Hirschfeld Theatre,"302 West 45th Street, New York, NY 10036, United States of America"
N/A,Union City,07307,N/A,Willie Wolf Way,New Jersey,Willie Wolf Way,"Union City, NJ 07307, United States of America"
Music Box Theatre,New York,10036,239,West 45th Street,New York,Music Box Theatre,"239 West 45th Street, New York, NY 10036, United States of America"
Imperial Theater,New York,10036,249,West 45th Street,New York,Imperial Theater,"249 West 45th Street, New York, NY 10036, United States of America"
Loew's Jersey Theatre,Jersey City,07306,54,Magnolia Avenue,New Jersey,Loew's Jersey Theatre,"54 Magnolia Avenue, Jersey City, NJ 07306, United States of America"
Upright Citizens Brigade Theatre,New York,10036,555,West 42nd Street,New York,Upright Citizens Brigade Theatre,"555 West 42nd Street, New York, NY 10036, United States of America"
Richard Rodgers Theatre,New York,10036,226,West 46th Street,New York,Richard Rodgers Theatre,"226 West 46th Street, New York, NY 10036, United States of America"
New Dramatists Theater,New York,10036,424,West 44th Street,New York,New Dramatists Theater,"424 West 44th Street, New York, NY 10036, United States of America"
Artshack Gallery,New York,11216,1127,Bedford Avenue,New York,Artshack Gallery,"1127 Bedford Avenue, New York, NY 11216, United States of America"
Artshack Brooklyn,New York,11216,1131,Bedford Avenue,New York,Artshack Brooklyn,"1131 Bedford Avenue, New York, NY 11216, United States of America"
Lucky Strike Social,New York,10036,624-660,West 42nd Street,New York,Lucky Strike Social,"624-660 West 42nd Street, New York, NY 10036, United States of America"
Lunt-Fontanne Theatre,New York,10036,205,West 46th Street,New York,Lunt-Fontanne Theatre,"205 West 46th Street, New York, NY 10036, United States of America"
Palace Theater,New York,10019,1564,Broadway,New York,Palace Theater,"1564 Broadway, New York, NY 10019, United States of America"
Old Hickory Playground,New York,11109,N/A,51st Avenue,New York,Old Hickory Playground,"51st Avenue, New York, NY 11109, United States of America"
Lena Horne Theatre,New York,10036,256,West 47th Street,New York,Lena Horne Theatre,"256 West 47th Street, New York, NY 10036, United States of America"
Firefighters' Memorial Park,Union City,07087,N/A,Palisade Avenue,New Jersey,Firefighters' Memorial Park,"Palisade Avenue, Union City, NJ 07087, United States of America"
John Hancock Playground,New York,11216,90,Jefferson Avenue,New York,John Hancock Playground,"90 Jefferson Avenue, New York, NY 11216, United States of America"
Andrews Grove,New York,11101,N/A,49th Avenue,New York,Andrews Grove,"49th Avenue, New York, NY 11101, United States of America"
James Earl Jones Theatre,New York,10036,138,West 48th Street,New York,James Earl Jones Theatre,"138 West 48th Street, New York, NY 10036, United States of America"
Barrymore Theatre,New York,10036,243,West 47th Street,New York,Barrymore Theatre,"243 West 47th Street, New York, NY 10036, United States of America"
LOL Times Square Comedy Club,New York,10036,711,7th Avenue,New York,LOL Times Square Comedy Club,"711 7th Avenue, New York, NY 10036, United States of America"
Samuel J. Friedman Theatre,New York,10036,261,West 47th Street,New York,Samuel J. Friedman Theatre,"261 West 47th Street, New York, NY 10036, United States of America"
Qlty-Life,New York,11222,240,Norman Avenue,New York,Qlty-Life,"240 Norman Avenue, New York, NY 11222, United States of America"
Longacre Theatre,New York,10036,220,West 48th Street,New York,Longacre Theatre,"220 West 48th Street, New York, NY 10036, United States of America"
Shoestring Press,New York,11238,640,Classon Avenue,New York,Shoestring Press,"640 Classon Avenue, New York, NY 11238, United States of America"
Underpenny Museum Antique & Collectables,New York,11101,10-13,50th Avenue,New York,Underpenny Museum Antique & Collectables,"10-13 50th Avenue, New York, NY 11101, United States of America"
Walter Kerr Theatre,New York,10019,219,West 48th Street,New York,Walter Kerr Theatre,"219 West 48th Street, New York, NY 10019, United States of America"
FGD Gallery,New York,11215,535A,6th Avenue,New York,FGD Gallery,"535A 6th Avenue, New York, NY 11215, United States of America"
Eden Fine Art,New York,10017,437,Madison Avenue,New York,Eden Fine Art,"437 Madison Avenue, New York, NY 10017, United States of America"
Estudio,New York,11215,547,6th Avenue,New York,Estudio,"547 6th Avenue, New York, NY 11215, United States of America"
Eugene O'Neill Theatre,New York,10019,230,West 49th Street,New York,Eugene O'Neill Theatre,"230 West 49th Street, New York, NY 10019, United States of America"
Standing Room Comedy Club,New York,11101,47-42,Vernon Boulevard,New York,Standing Room Comedy Club,"47-42 Vernon Boulevard, New York, NY 11101, United States of America"
Almira Kennedy Coursey Amphitheater,New York,11221,N/A,Lafayette Avenue,New York,Almira Kennedy Coursey Amphitheater,"Lafayette Avenue, New York, NY 11221, United States of America"
Seed Brklyn Garden,New York,11216,1221,Bedford Avenue,New York,Seed Brklyn Garden,"1221 Bedford Avenue, New York, NY 11216, United States of America"
Ambassador Theatre,New York,10019,219,West 49th Street,New York,Ambassador Theatre,"219 West 49th Street, New York, NY 10019, United States of America"
Radio City Music Hall,New York,10019,N/A,West 50th Street,New York,Radio City Music Hall,"West 50th Street, New York, NY 10019, United States of America"
Fountain Gallery,New York,10036,N/A,West 48th Street,New York,Fountain Gallery,"West 48th Street, New York, NY 10036, United States of America"
Carolines on Broadway,New York,10019,1626,Broadway,New York,Carolines on Broadway,"1626 Broadway, New York, NY 10019, United States of America"
Boccara Art,New York,11232,198,24th Street,New York,Boccara Art,"198 24th Street, New York, NY 11232, United States of America"
Under Minerva,New York,11232,656,5th Avenue,New York,Under Minerva,"656 5th Avenue, New York, NY 11232, United States of America"
Hootenanny Art Annex,New York,11215,413A,7th Avenue,New York,Hootenanny Art Annex,"413A 7th Avenue, New York, NY 11215, United States of America"
Winter Garden Theatre,New York,10019,1634,Broadway,New York,Winter Garden Theatre,"1634 Broadway, New York, NY 10019, United States of America"
Brooklyn Acting Lab,New York,11215,1012,8th Avenue,New York,Brooklyn Acting Lab,"1012 8th Avenue, New York, NY 11215, United States of America"
Gershwin Theatre,New York,10019,222,West 51st Street,New York,Gershwin Theatre,"222 West 51st Street, New York, NY 10019, United States of America"
Intrepid Museum,New York,10036,86,West 46th Street,New York,Intrepid Museum,"86 West 46th Street, New York, NY 10036, United States of America"
New World Stages,New York,10019,340,West 50th Street,New York,New World Stages,"340 West 50th Street, New York, NY 10019, United States of America"
My Gallery NYC,New York,11216,587,Franklin Avenue,New York,My Gallery NYC,"587 Franklin Avenue, New York, NY 11216, United States of America"
Circle in the Square Theatre,New York,10019,222,West 51st Street,New York,Circle in the Square Theatre,"222 West 51st Street, New York, NY 10019, United States of America"
