entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
,New York,11211,,North 1st Street,New York,"New York, NY 11211, United States of America",-73.96696391528164,40.71717665
Joyce Theatre,New York,10011,,West 18th Street,New York,"West 18th Street, New York, NY 10011, United States of America",-74.0011111,40.7425
Metaphor Projects,New York,11217,382,Atlantic Avenue,New York,"382 Atlantic Avenue, New York, NY 11217, United States of America",-73.9857727,40.6871133
The Joyce Theater,New York,10011,175,8th Avenue,New York,"175 8th Avenue, New York, NY 10011, United States of America",-74.00071076242158,40.74281765
Fotografiska,New York,10010,281,Park Avenue South,New York,"281 Park Avenue South, New York, NY 10010, United States of America",-73.986775,40.7392696
Atlantic Theater,New York,10011,,West 20th Street,New York,"West 20th Street, New York, NY 10011, United States of America",-74.001512,40.7439485
Gramercy Theatre,New York,10010,127,East 23rd Street,New York,"127 East 23rd Street, New York, NY 10010, United States of America",-73.98493975009887,40.7398728
Vistor Center,New York,11205,,Washington Park,New York,"Washington Park, New York, NY 11205, United States of America",-73.97473554999999,40.69221735
Jalopy Theater and School of Music,New York,11231,315,Columbia Street,New York,"315 Columbia Street, New York, NY 11231, United States of America",-74.00429,40.6813582
Urban Glass,New York,11217,647,Fulton Street,New York,"647 Fulton Street, New York, NY 11217, United States of America",-73.9791712,40.6885885
Residency Unlimited,New York,11231,360,Court Street,New York,"360 Court Street, New York, NY 11231, United States of America",-73.9962854,40.6819568
BAM Strong,New York,11207,,Fulton Street,New York,"Fulton Street, New York, NY 11207, United States of America",-73.97892197723773,40.68832985
Brooklyn Magic Shop,New York,11231,281,Smith Street,New York,"281 Smith Street, New York, NY 11231, United States of America",-73.9932696,40.6823786
Poster House,New York,10011,119,West 23rd Street,New York,"119 West 23rd Street, New York, NY 10011, United States of America",-73.99333646650419,40.7435881
BAM Harvey Theater,New York,11217,651,Fulton Street,New York,"651 Fulton Street, New York, NY 11217, United States of America",-73.979001,40.688282
The Rudin Family Gallery,New York,11217,653,Fulton Street,New York,"653 Fulton Street, New York, NY 11217, United States of America",-73.9789276,40.6882524
Lisson Gallery,New York,10011,138,10th Avenue,New York,"138 10th Avenue, New York, NY 10011, United States of America",-74.0059742,40.7448683
Cinépolis Chelsea,New York,10011,260,West 23rd Street,New York,"260 West 23rd Street, New York, NY 10011, United States of America",-73.99809410901324,40.74462755
BAM 230 Ashland Place,New York,11217,230,Ashland Place,New York,"230 Ashland Place, New York, NY 11217, United States of America",-73.9787885,40.6881964
De-construkt,New York,11231,41,Seabring Street,New York,"41 Seabring Street, New York, NY 11231, United States of America",-74.0067031,40.6806184
New York Comedy Club,New York,10010,241,East 24th Street,New York,"241 East 24th Street, New York, NY 10010, United States of America",-73.9808406,40.7388641
Amphitheater,Hoboken,07030,,Hoboken Newport Walkway- Hudson River Waterfront Walkway,New Jersey,"Hoboken Newport Walkway- Hudson River Waterfront Walkway, Hoboken, NJ 07030, United States of America",-74.025979,40.7413693
Hoboken Fire Department Museum,Hoboken,07030,213,Bloomfield Street,New Jersey,"213 Bloomfield Street, Hoboken, NJ 07030, United States of America",-74.0309564,40.739273
490 Atlantic,New York,11217,490,Atlantic Avenue,New York,"New York, NY 11217, United States of America",-73.9820581,40.6856703
Theater for a New Audience,New York,11217,95,Rockwell Place,New York,"95 Rockwell Place, New York, NY 11217, United States of America",-73.9788748135085,40.6872647
Eastville Comedy Club & Bar,New York,11217,487,Atlantic Avenue,New York,"487 Atlantic Avenue, New York, NY 11217, United States of America",-73.9816535,40.6858601
Red Hook Labs,New York,11231,133,Imlay Street,New York,"133 Imlay Street, New York, NY 11231, United States of America",-74.01045465812824,40.6801441
Spectacle Theater,New York,11249,124,South 3rd Street,New York,"124 South 3rd Street, New York, NY 11249, United States of America",-73.9629051,40.7125158
Polonsky Shakespeare Center,New York,11217,262,Ashland Place,New York,"262 Ashland Place, New York, NY 11217, United States of America",-73.97859,40.6874552
Mark Morris Dance Center,New York,11217,3,Rockwell Place,New York,"3 Rockwell Place, New York, NY 11217, United States of America",-73.97890586676553,40.68699905
Police Officer Moira Ann Smith Playground,New York,10037,,Madison Avenue,New York,"Madison Avenue, New York, NY 10037, United States of America",-73.98732026592154,40.74250395
Gumbo Creative Space,New York,11217,495,Atlantic Avenue,New York,"495 Atlantic Avenue, New York, NY 11217, United States of America",-73.9813748,40.6857498
David Zwirner,New York,10011,527,West 19th Street,New York,"527 West 19th Street, New York, NY 10011, United States of America",-74.0071302,40.7459283
Nitehawk Cinema,New York,11249,136,Metropolitan Avenue,New York,"136 Metropolitan Avenue, New York, NY 11249, United States of America",-73.9624714,40.7160932
Roulette,New York,11217,509,Atlantic Avenue,New York,"509 Atlantic Avenue, New York, NY 11217, United States of America",-73.9807166,40.6855576
C & K Art Gallery,New York,11217,514,Atlantic Avenue,New York,"514 Atlantic Avenue, New York, NY 11217, United States of America",-73.9811203,40.6853064
SVA Theater,New York,10011,333,West 23rd Street,New York,"333 West 23rd Street, New York, NY 10011, United States of America",-73.9998584313263,40.74613975
Holographic Studios,New York,10010,240,East 26th Street,New York,"240 East 26th Street, New York, NY 10010, United States of America",-73.9800915,40.7399127
National Museum of Mathematics,New York,10010,11,East 26th Street,New York,"11 East 26th Street, New York, NY 10010, United States of America",-73.9873437,40.7432428
Nohra Haime Gallery,New York,10011,500A,West 21st Street,New York,"500A West 21st Street, New York, NY 10011, United States of America",-74.0054994,40.7464281
Pioneer Works,New York,11231,,Pioneer Street,New York,"Pioneer Street, New York, NY 11231, United States of America",-74.01222494023605,40.679130400000005
BAM Peter Jay Sharp Building,New York,11217,30,Lafayette Avenue,New York,"30 Lafayette Avenue, New York, NY 11217, United States of America",-73.97784864337915,40.68642175
BAM Howard Gilman Opera House,New York,11217,30,Lafayette Avenue,New York,"30 Lafayette Avenue, New York, NY 11217, United States of America",-73.9779506,40.6866469
,New York,11249,103,North 3rd Street,New York,"New York, NY 11249, United States of America",-73.9618119,40.7168612
BAM Rose Cinemas,New York,11217,30,Lafayette Avenue,New York,"30 Lafayette Avenue, New York, NY 11217, United States of America",-73.9775096,40.6866978
Repertorio Español,New York,10016,138,East 27th Street,New York,"138 East 27th Street, New York, NY 10016, United States of America",-73.9825386,40.7417135
The Column Theater,New York,11217,345,Dean Street,New York,"345 Dean Street, New York, NY 11217, United States of America",-73.9810741,40.6844863
BAM Fischer,New York,11217,321,Ashland Place,New York,"321 Ashland Place, New York, NY 11217, United States of America",-73.9778037,40.68602395
Red Hook Art Project,New York,11231,291,Van Brunt Street,New York,"291 Van Brunt Street, New York, NY 11231, United States of America",-74.011033,40.6787705
Paula Cooper Gallery,New York,10011,525,West 21st Street,New York,"525 West 21st Street, New York, NY 10011, United States of America",-74.0062487,40.7470457
The Fishman Space,New York,11217,321,Ashland Place,New York,"321 Ashland Place, New York, NY 11217, United States of America",-73.9778687,40.6860179
Museum of Sex,New York,10016,223,5th Avenue,New York,"223 5th Avenue, New York, NY 10016, United States of America",-73.9873576,40.7440374
National Sawdust,New York,11249,80,North 6th Street,New York,"80 North 6th Street, New York, NY 11249, United States of America",-73.9612431,40.7189664
The Robotic Church,New York,11231,111,Pioneer Street,New York,"111 Pioneer Street, New York, NY 11231, United States of America",-74.0105003,40.6783566
303 Gallery,New York,10011,555,West 21st Street,New York,"555 West 21st Street, New York, NY 10011, United States of America",-74.0075391,40.7475429
Verysweetlife Studio,New York,11217,320,Dean Street,New York,"320 Dean Street, New York, NY 11217, United States of America",-73.9810635,40.6836591
Basin Gallery & Studios,New York,11231,344,Van Brunt Street,New York,"344 Van Brunt Street, New York, NY 11231, United States of America",-74.0120694,40.6782345
The Museum at FIT,New York,10001,,West 27th Street,New York,"West 27th Street, New York, NY 10001, United States of America",-73.9941473,40.7466544
The Cliffs at Gowanus,New York,11217,242,Butler Street,New York,"242 Butler Street, New York, NY 11217, United States of America",-73.9854375,40.6814293
Peninsula,New York,11231,352,Van Brunt Street,New York,"352 Van Brunt Street, New York, NY 11231, United States of America",-74.0123111,40.6780278
Williamsburg Cinemas,New York,11211,217,Grand Street,New York,"217 Grand Street, New York, NY 11211, United States of America",-73.9598336,40.714151
Brindamour Studios,New York,11231,487,Union Street,New York,"487 Union Street, New York, NY 11231, United States of America",-73.989353,40.6799735
The Fiberhouse,New York,11231,72,Nelson Street,New York,"72 Nelson Street, New York, NY 11231, United States of America",-74.0030872,40.6775385
Sunday Takeout,New York,11217,29,Hanson Place,New York,"29 Hanson Place, New York, NY 11217, United States of America",-73.9766234,40.6853667
HG Contemporary,New York,10011,527,West 23rd Street,New York,"527 West 23rd Street, New York, NY 10011, United States of America",-74.0052494,40.748353
Escape,New York,10001,130,West 29th Street,New York,"130 West 29th Street, New York, NY 10001, United States of America",-73.9914857,40.7471291
Realty Collective,New York,11231,351,Van Brunt Street,New York,"351 Van Brunt Street, New York, NY 11231, United States of America",-74.013032,40.6770631
Gladstone Gallery,New York,10011,515,West 24th Street,New York,"515 West 24th Street, New York, NY 10011, United States of America",-74.004588,40.7489761
Art World ESPO,New York,11217,72,4th Avenue,New York,"72 4th Avenue, New York, NY 11217, United States of America",-73.9798764,40.6824711
Bond Craft Studio,New York,11231,372,Bond Street,New York,"372 Bond Street, New York, NY 11231, United States of America",-73.9909317,40.6782479
Chelsea Waterside Play Area,New York,10011,,11th Avenue,New York,"11th Avenue, New York, NY 10011, United States of America",-74.00698362699114,40.749410350000005
Museum of Contemporary African Diasporan Arts,New York,11217,80,Hanson Place,New York,"80 Hanson Place, New York, NY 11217, United States of America",-73.9744276,40.68535
Golden Anvil,New York,11231,102,Dikeman Street,New York,"102 Dikeman Street, New York, NY 11231, United States of America",-74.0131073,40.6766706
Spoke the Hub Dancing,New York,11217,298,Butler Street,New York,"298 Butler Street, New York, NY 11217, United States of America",-73.9832777,40.6805591
KoKo Gowanus,New York,11217,298,Butler Street,New York,"298 Butler Street, New York, NY 11217, United States of America",-73.9833221,40.6804914
Gagosian,New York,10011,555,West 24th Street,New York,"555 West 24th Street, New York, NY 10011, United States of America",-74.0059445,40.7494423
Brooklyn Boulders,New York,11217,575,Degraw Street,New York,"575 Degraw Street, New York, NY 11217, United States of America",-73.98408188750656,40.67981895
Liberty Science Center,Jersey City,07305,222,Jersey City Boulevard,New Jersey,"222 Jersey City Boulevard, Jersey City, NJ 07305, United States of America",-74.05469098756768,40.7081774
Pace Gallery,New York,10001,540,West 25th Street,New York,"540 West 25th Street, New York, NY 10001, United States of America",-74.0049685,40.7495759
Magnet Theater,New York,10001,254,West 29th Street,New York,"254 West 29th Street, New York, NY 10001, United States of America",-73.9953514,40.7487769
Hudson Guild Theatre,New York,10001,441,West 26th Street,New York,"441 West 26th Street, New York, NY 10001, United States of America",-74.0016225,40.7495539
Chelsea Park,New York,10001,,West 27th Drive,New York,"West 27th Drive, New York, NY 10001, United States of America",-74.00022994219069,40.7496189
Theater Mitu,New York,11217,580A,Sackett Street,New York,"580A Sackett Street, New York, NY 11217, United States of America",-73.9858051,40.6791659
IMAX Dome Theater,Jersey City,07302,,New Jersey Turnpike Newark Bay Extension,New Jersey,"New Jersey Turnpike Newark Bay Extension, Jersey City, NJ 07302, United States of America",-74.05466225580798,40.70865965
MetroRock Williamsburg,New York,11211,150,Marcy Avenue,New York,"150 Marcy Avenue, New York, NY 11211, United States of America",-73.9574004,40.7094865
Joseph D. Williams Science Theater,Jersey City,07305,,Phillip Street,New Jersey,"Phillip Street, Jersey City, NJ 07305, United States of America",-74.05478965,40.708281400000004
Skyline Drive In NYC,New York,11222,,Oak Street,New York,"Oak Street, New York, NY 11222, United States of America",-73.960961,40.7275059
Statue of Liberty Museum,New York,07302,,Flagpole Plaza,New York,"Flagpole Plaza, New York, NY 07302, United States of America",-74.04644986214859,40.690807649999996
AMC Kips Bay 15,New York,10016,570,2nd Avenue,New York,"570 2nd Avenue, New York, NY 10016, United States of America",-73.9767783,40.7429085
The Cutting Room,New York,10016,44,East 32nd Street,New York,"44 East 32nd Street, New York, NY 10016, United States of America",-73.9828553,40.7459046
AM:PM Gallery,New York,11211,108,Marcy Avenue,New York,"108 Marcy Avenue, New York, NY 11211, United States of America",-73.9565553,40.7107596
Paul Robeson Theatre,New York,11221,40,Greene Avenue,New York,"40 Greene Avenue, New York, NY 11221, United States of America",-73.9709152,40.6859713
The McKittrick Hotel,New York,10001,,West 27th Street,New York,"West 27th Street, New York, NY 10001, United States of America",-74.0038103,40.7506815
Memorial Hall,New York,11205,205,Ryerson Street,New York,"205 Ryerson Street, New York, NY 11205, United States of America",-73.96426938847848,40.691563
The City Reliquary,New York,11211,370,Metropolitan Avenue,New York,"370 Metropolitan Avenue, New York, NY 11211, United States of America",-73.9557409,40.7139536
The Canvas,New York,11249,132,Bedford Avenue,New York,"132 Bedford Avenue, New York, NY 11249, United States of America",-73.9562818,40.719328
Littlefield,New York,11217,635,Sackett Street,New York,"635 Sackett Street, New York, NY 11217, United States of America",-73.9833773,40.6784807
e-flux,New York,11205,172,Classon Avenue,New York,"172 Classon Avenue, New York, NY 11205, United States of America",-73.9614259,40.6947588
The Waterfront Museum,New York,11231,290,Conover Street,New York,"290 Conover Street, New York, NY 11231, United States of America",-74.01828820146281,40.6752578
Lucid Body House,New York,10016,230,Lexington Avenue,New York,"230 Lexington Avenue, New York, NY 10016, United States of America",-73.9801056,40.7461254
GP-81 Climbing Gym,New York,11222,81,Quay Street,New York,"81 Quay Street, New York, NY 11222, United States of America",-73.95807347620058,40.72645665
Jaime Campiz Playground,New York,11211,,Marcy Avenue,New York,"Marcy Avenue, New York, NY 11211, United States of America",-73.95453989418007,40.71331995
VR World,New York,10016,8,East 34th Street,New York,"8 East 34th Street, New York, NY 10016, United States of America",-73.9839442,40.7479823
Liberty State Park Interpretive Center,Jersey City,07305,275,Freedom Way,New Jersey,"275 Freedom Way, Jersey City, NJ 07305, United States of America",-74.05404785214242,40.698456050000004
The Houdini Museum of New York,New York,10001,,West 33rd Street,New York,"West 33rd Street, New York, NY 10001, United States of America",-73.9906463,40.7502679
ShapeShifter Lab,New York,11215,18,Whitwell Place,New York,"18 Whitwell Place, New York, NY 11215, United States of America",-73.98607542944546,40.676452499999996
Textile Arts Center,New York,11215,505,Carroll Street,New York,"505 Carroll Street, New York, NY 11215, United States of America",-73.9852434,40.6768058
Liberty State Park Interpretive Center,Jersey City,07302,,Freedom Way,New Jersey,"Freedom Way, Jersey City, NJ 07302, United States of America",-74.0542917,40.6983253
Martin E. Segal Theatre Center,New York,10016,365,5th Avenue,New York,"365 5th Avenue, New York, NY 10016, United States of America",-73.984166,40.7486227
The Gutter,New York,11249,200,North 14th Street,New York,"200 North 14th Street, New York, NY 11249, United States of America",-73.9554759,40.7227408
VITAL Climbing Gym,New York,11249,221,North 14th Street,New York,"221 North 14th Street, New York, NY 11249, United States of America",-73.95480354415162,40.722822550000004
Gowanus Creative Studios,New York,11231,,2nd Avenue,New York,"2nd Avenue, New York, NY 11231, United States of America",-73.99352002419353,40.673409449999994
The Shed,New York,10001,,West 30th Street,New York,"West 30th Street, New York, NY 10001, United States of America",-74.00246339720638,40.75322305
Established Gallery,New York,11217,75B,6th Avenue,New York,"75B 6th Avenue, New York, NY 11217, United States of America",-73.9744918,40.680379
The Bell House,New York,11215,149,7th Street,New York,"149 7th Street, New York, NY 11215, United States of America",-73.99167661154331,40.67373
The Old American Can Factory,New York,11215,232,3rd Street,New York,"232 3rd Street, New York, NY 11215, United States of America",-73.9878526,40.6748373
Ortega y Gasset Projects,New York,11215,363,3rd Avenue,New York,"363 3rd Avenue, New York, NY 11215, United States of America",-73.9881576,40.6745916
AMC Lowes 34th St 14,New York,10001,312,West 34th Street,New York,"312 West 34th Street, New York, NY 10001, United States of America",-73.9944494,40.7524154
,New York,11215,232,3rd Street,New York,"New York, NY 11215, United States of America",-73.9876068,40.6747084
Site: Brooklyn,New York,11215,165,7th Street,New York,"165 7th Street, New York, NY 11215, United States of America",-73.9914357,40.6734864
Manhattan Center,New York,10001,311,West 34th Street,New York,"311 West 34th Street, New York, NY 10001, United States of America",-73.99411989108398,40.7529437
The Morgan Library & Museum,New York,10016,225,Madison Avenue,New York,"225 Madison Avenue, New York, NY 10016, United States of America",-73.9814793,40.7491907
Grand Avenue Workshop,New York,11238,290,Grand Avenue,New York,"290 Grand Avenue, New York, NY 11238, United States of America",-73.9629055,40.6881239
Side pony tail - comedy,New York,11211,594,Union Avenue,New York,"594 Union Avenue, New York, NY 11211, United States of America",-73.9524334,40.7181383
Super Secret Arts,New York,11215,400,3rd Avenue,New York,"400 3rd Avenue, New York, NY 11215, United States of America",-73.9895796,40.6734291
Ibeam Brooklyn,New York,11215,168,7th Street,New York,"168 7th Street, New York, NY 11215, United States of America",-73.9910311,40.6730245
Sharon Simmons Art Gallery,New York,11217,127,6th Avenue,New York,"127 6th Avenue, New York, NY 11217, United States of America",-73.9758613,40.6782893
Principles GI Coffee House,New York,11215,139,9th Street,New York,"139 9th Street, New York, NY 11215, United States of America",-73.99258081905276,40.672517049999996
Bklyn Clay,New York,11238,535,Carlton Avenue,New York,"535 Carlton Avenue, New York, NY 11238, United States of America",-73.9709045,40.6809516
Barcade,New York,11211,388,Union Avenue,New York,"388 Union Avenue, New York, NY 11211, United States of America",-73.951117,40.7120257
17 Frost Gallery,New York,11211,17,Frost Street,New York,"17 Frost Street, New York, NY 11211, United States of America",-73.9513839,40.7175806
St. Hrouda,New York,11215,227,5th Avenue,New York,"227 5th Avenue, New York, NY 11215, United States of America",-73.9808644,40.6755434
Hoboken Historical Museum,Hoboken,07030,1301,Hudson Street,New Jersey,"1301 Hudson Street, Hoboken, NJ 07030, United States of America",-74.0249925,40.7521438
Abingdon Theatre Complex,New York,10018,312,West 36th Street,New York,"312 West 36th Street, New York, NY 10018, United States of America",-73.9931889,40.7536123
The Tank,New York,10018,312,West 36th Street,New York,"312 West 36th Street, New York, NY 10018, United States of America",-73.9932897,40.7536633
Monroe Center for the Arts,Hoboken,07030,623,Monroe Street,New Jersey,"623 Monroe Street, Hoboken, NJ 07030, United States of America",-74.0379555,40.747102
Shipwrecked,New York,11231,621,Court Street,New York,"621 Court Street, New York, NY 11231, United States of America",-74.0012395,40.6708338
Dieu Donne,New York,10018,315,West 36th Street,New York,"315 West 36th Street, New York, NY 10018, United States of America",-73.9935249,40.7540065
National Comedy Theater,New York,10018,347,West 36th Street,New York,"347 West 36th Street, New York, NY 10018, United States of America",-73.9943268654356,40.754498850000004
Craftsman Ave,New York,11215,117B,11th Street,New York,"117B 11th Street, New York, NY 11215, United States of America",-73.9937019,40.6712024
The Brick,New York,11211,579,Metropolitan Avenue,New York,"579 Metropolitan Avenue, New York, NY 11211, United States of America",-73.9497604,40.714199
Soapbox Gallery,New York,11238,636,Dean Street,New York,"636 Dean Street, New York, NY 11238, United States of America",-73.9692441,40.6803238
Spoke the Hub,New York,11215,748,Union Street,New York,"748 Union Street, New York, NY 11215, United States of America",-73.9783171,40.6754153
Old Stone House,New York,11215,336,3rd Street,New York,"336 3rd Street, New York, NY 11215, United States of America",-73.98460214306107,40.6730096
J.J. Byrne Playground,New York,11215,,3rd Street,New York,"3rd Street, New York, NY 11215, United States of America",-73.98411819140361,40.6727774
Sunshine Laundromat & Pinball,New York,11222,860,Manhattan Avenue,New York,"860 Manhattan Avenue, New York, NY 11222, United States of America",-73.9537278,40.7292458
Lafayette Gardens Playground,New York,11225,,Franklin Avenue,New York,"Franklin Avenue, New York, NY 11225, United States of America",-73.95753761649493,40.68978225
Ocean's 8,New York,11238,308,Flatbush Avenue,New York,"308 Flatbush Avenue, New York, NY 11238, United States of America",-73.9730602234526,40.6773771
Museum of Food and Drink,New York,11222,62,Bayard Street,New York,"62 Bayard Street, New York, NY 11222, United States of America",-73.9495538,40.7189546
Ripley-Grier Flexible Spaces,New York,10018,305,West 38th Street,New York,"305 West 38th Street, New York, NY 10018, United States of America",-73.9917432,40.7549701
The Honey Badger Motel,New York,11217,145,Sterling Place,New York,"145 Sterling Place, New York, NY 11217, United States of America",-73.9732953,40.6770369
The AKC Museum of the Dog,New York,10016,101,Park Avenue,New York,"101 Park Avenue, New York, NY 10016, United States of America",-73.9776714,40.7506893
BAC,New York,10018,450,West 37th Street,New York,"450 West 37th Street, New York, NY 10018, United States of America",-73.9973055,40.7560502
The Escape Game New York City,New York,10017,295,Madison Avenue,New York,"295 Madison Avenue, New York, NY 10017, United States of America",-73.9797611,40.7518177
Film Noir Cinema,New York,11222,122,Meserole Avenue,New York,"122 Meserole Avenue, New York, NY 11222, United States of America",-73.951608,40.7273136
Brooklyn Center Stage Dance Studio,New York,11215,495,3rd Avenue,New York,"495 3rd Avenue, New York, NY 11215, United States of America",-73.9919648,40.670101
SIR Stage37,New York,10018,508,West 37th Street,New York,"508 West 37th Street, New York, NY 10018, United States of America",-73.99877080910807,40.756664099999995
The Empty Circle,New York,11215,499,3rd Avenue,New York,"499 3rd Avenue, New York, NY 11215, United States of America",-73.9920364,40.6700052
Putting Green,New York,10019,,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-73.9844793,40.753819
The Elizabeth Foundation for the Arts,New York,10018,323,West 39th Street,New York,"323 West 39th Street, New York, NY 10018, United States of America",-73.9923574,40.7559503
The Robert Blackburn Printmaking Workshop (RBPMW),New York,10018,323,West 39th Street,New York,"323 West 39th Street, New York, NY 10018, United States of America",-73.9923501,40.7559814
Miss Tic Escape Rooms,New York,11215,794,Union Street,New York,"794 Union Street, New York, NY 11215, United States of America",-73.9763016,40.674549
Nederlander Theatre,New York,10018,208,West 41st Street,New York,"208 West 41st Street, New York, NY 10018, United States of America",-73.98830234615221,40.7554837
BBFL Gallery,New York,11215,300,7th Street,New York,"300 7th Street, New York, NY 11215, United States of America",-73.986344,40.6707563
Brooklyn Glass,New York,11215,143,13th Street,New York,"143 13th Street, New York, NY 11215, United States of America",-73.9936769,40.669037
New Amsterdam Theatre,New York,10036,214,West 42nd Street,New York,"214 West 42nd Street, New York, NY 10036, United States of America",-73.98806312043041,40.75599995
Madame Tussauds New York,New York,10036,234,West 42nd Street,New York,"234 West 42nd Street, New York, NY 10036, United States of America",-73.98843804512987,40.7562126
AMC Empire 25,New York,10036,234,West 42nd Street,New York,"234 West 42nd Street, New York, NY 10036, United States of America",-73.98926649582987,40.75668515
Dave & Buster's,New York,10036,234,West 42nd Street,New York,"234 West 42nd Street, New York, NY 10036, United States of America",-73.9886418,40.7565216
Jack,New York,11238,20,Putnam Avenue,New York,"20 Putnam Avenue, New York, NY 11238, United States of America",-73.9610769,40.6826381
The Gravity Vault Hoboken,Hoboken,07030,1423,Clinton Street,New Jersey,"1423 Clinton Street, Hoboken, NJ 07030, United States of America",-74.03006752001096,40.75485655
Bow Tie Cinemas,Hoboken,07030,409-415,14th Street,New Jersey,"409-415 14th Street, Hoboken, NJ 07030, United States of America",-74.03205579944398,40.75415715
Puppetworks,New York,11215,338,6th Avenue,New York,"338 6th Avenue, New York, NY 11215, United States of America",-73.9816313,40.6710237
BAX,New York,11215,421,5th Avenue,New York,"421 5th Avenue, New York, NY 11215, United States of America",-73.9855042,40.6698196
New Victory Theater,New York,10036,209,West 42nd Street,New York,"209 West 42nd Street, New York, NY 10036, United States of America",-73.98745245050083,40.7565592
Lyric Theatre,New York,10036,213,West 42nd Street,New York,"213 West 42nd Street, New York, NY 10036, United States of America",-73.98746151689068,40.756792399999995
American Airlines Theatre,New York,10036,227,West 42nd Street,New York,"227 West 42nd Street, New York, NY 10036, United States of America",-73.98804227179323,40.75681415
The Gravity Vault Hoboken,Hoboken,07030,1423,Clinton Street,New Jersey,"1423 Clinton Street, Hoboken, NJ 07030, United States of America",-74.0300308,40.7549843
Stephen Sondheim Theatre,New York,10036,124,West 43rd Street,New York,"124 West 43rd Street, New York, NY 10036, United States of America",-73.9849328,40.7558962
The Duke on 42nd Street,New York,10036,229,West 42nd Street,New York,"229 West 42nd Street, New York, NY 10036, United States of America",-73.9882358,40.7567679
Regal E-Walk Stadium 13 & RPX,New York,10036,247,West 42nd Street,New York,"247 West 42nd Street, New York, NY 10036, United States of America",-73.9889365,40.7570477
International Center of Photography,New York,10036,1133,6th Avenue,New York,"1133 6th Avenue, New York, NY 10036, United States of America",-73.9837251,40.7557394
The Town Hall,New York,10036,123,West 43rd Street,New York,"123 West 43rd Street, New York, NY 10036, United States of America",-73.9845629,40.7560233
American Airlines Theatre,New York,10036,227,West 42nd Street,New York,"227 West 42nd Street, New York, NY 10036, United States of America",-73.98811924139545,40.75715565
Muddguts,New York,11211,427,Graham Avenue,New York,"427 Graham Avenue, New York, NY 11211, United States of America",-73.9450748,40.7177377
Theatre Row,New York,10036,410,West 42nd Street,New York,"410 West 42nd Street, New York, NY 10036, United States of America",-73.9933987,40.7585537
Playwrights Horizons,New York,10036,416,West 42nd Street,New York,"416 West 42nd Street, New York, NY 10036, United States of America",-73.9936128,40.7586397
Belasco Theatre,New York,10036,111,West 44th Street,New York,"111 West 44th Street, New York, NY 10036, United States of America",-73.983800660177,40.756644
Fiddler on The Roof,New York,10036,420,West 42nd Street,New York,"420 West 42nd Street, New York, NY 10036, United States of America",-73.9937452,40.7587201
The Green Room 42,New York,10036,460,West 42nd Street,New York,"460 West 42nd Street, New York, NY 10036, United States of America",-73.9947045,40.7589046
Helen Hayes Theatre,New York,10036,240,West 44th Street,New York,"240 West 44th Street, New York, NY 10036, United States of America",-73.98784165000001,40.7578513
St. James Theatre,New York,10036,246,West 44th Street,New York,"246 West 44th Street, New York, NY 10036, United States of America",-73.98815839177944,40.75798445
Greenpoint Gallery,New York,11222,390,McGuinness Boulevard,New York,"390 McGuinness Boulevard, New York, NY 11222, United States of America",-73.95243,40.7363545
Underhill Playground,New York,11216,,Prospect Place,New York,"Prospect Place, New York, NY 11216, United States of America",-73.96571637584992,40.676658450000005
Second Stage Theater,New York,10036,,West 43rd Street,New York,"West 43rd Street, New York, NY 10036, United States of America",-73.9895564,40.7581985
The Gallery Players Theater,New York,11215,199,14th Street,New York,"199 14th Street, New York, NY 11215, United States of America",-73.9905171,40.6671417
PlayStation Theater,New York,10019,1515,Broadway,New York,"1515 Broadway, New York, NY 10019, United States of America",-73.9864422,40.7576451
Shubert Theatre,New York,10036,225,West 44th Street,New York,"225 West 44th Street, New York, NY 10036, United States of America",-73.98725639341359,40.75814475
Broadhurst Theatre,New York,10036,235,West 44th Street,New York,"235 West 44th Street, New York, NY 10036, United States of America",-73.98761706594371,40.758268599999994
Majestic Theatre,New York,10036,245,West 44th Street,New York,"245 West 44th Street, New York, NY 10036, United States of America",-73.98801637890512,40.75841785
Land Gallery & Studio,New York,11216,1101,Bedford Avenue,New York,"1101 Bedford Avenue, New York, NY 11216, United States of America",-73.9542756,40.6861638
Booth Theatre,New York,10036,222,West 45th Street,New York,"222 West 45th Street, New York, NY 10036, United States of America",-73.98709028360129,40.758373000000006
GAMBA Forest,New York,11222,630,Humboldt Street,New York,"630 Humboldt Street, New York, NY 11222, United States of America",-73.94493,40.7234078
Gerald Schoenfeld Theatre,New York,10036,236,West 45th Street,New York,"236 West 45th Street, New York, NY 10036, United States of America",-73.98743774010278,40.75848585
Bernard B. Jacobs Theatre,New York,10036,242,West 45th Street,New York,"242 West 45th Street, New York, NY 10036, United States of America",-73.98774051505198,40.7586082
Minskoff Theatre,New York,10019,1515,Broadway,New York,"1515 Broadway, New York, NY 10019, United States of America",-73.9862053,40.758063
Lyceum Theatre,New York,10036,149,West 45th Street,New York,"149 West 45th Street, New York, NY 10036, United States of America",-73.98450063805058,40.757869400000004
John Golden Theatre,New York,10036,252,West 45th Street,New York,"252 West 45th Street, New York, NY 10036, United States of America",-73.98798460640043,40.7587046
Westside Theatre,New York,10036,407,West 43rd Street,New York,"407 West 43rd Street, New York, NY 10036, United States of America",-73.9926202,40.759448
